Date,Close,Volume,Inflation,Unemployment,GDP_Growth_Rate,GDP,Interest_rate,CPI
27-10-2008,848.919983,5558050000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
28-10-2008,940.51001,7096950000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
29-10-2008,930.090027,7077800000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
30-10-2008,954.090027,6175830000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
31-10-2008,968.75,6394350000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
3/11/2008,966.299988,4492280000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
4/11/2008,1005.75,5531290000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
5/11/2008,952.77002,5426640000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
6/11/2008,904.880005,6102230000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
7/11/2008,930.98999,4931640000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
10/11/2008,919.210022,4572000000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
11/11/2008,898.950012,4998340000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
12/11/2008,852.299988,5764180000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
13-11-2008,911.289978,7849120000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
14-11-2008,873.289978,5881030000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
17-11-2008,850.75,4927490000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
18-11-2008,859.119995,6679470000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
19-11-2008,806.580017,6548600000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
20-11-2008,752.440002,9093740000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
21-11-2008,800.030029,9495900000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
24-11-2008,851.809998,7879440000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
25-11-2008,857.390015,6952700000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
26-11-2008,887.679993,5793260000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
28-11-2008,896.23999,2740860000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
1/12/2008,816.210022,6052010000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
2/12/2008,848.809998,6170100000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
3/12/2008,870.73999,6221880000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
4/12/2008,845.219971,5860390000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
5/12/2008,876.070007,6165370000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
8/12/2008,909.700012,6553600000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
9/12/2008,888.669983,5693110000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
10/12/2008,899.23999,5942130000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
11/12/2008,873.590027,5513840000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
12/12/2008,879.72998,5959590000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
15-12-2008,868.570007,4982390000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
16-12-2008,913.179993,6009780000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
17-12-2008,904.419983,5907380000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
18-12-2008,885.280029,5675000000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
19-12-2008,887.880005,6705310000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
22-12-2008,871.630005,4869850000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
23-12-2008,863.159973,4051970000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
24-12-2008,868.150024,1546550000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
26-12-2008,872.799988,1880050000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
29-12-2008,869.419983,3323430000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
30-12-2008,890.640015,3627800000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
31-12-2008,903.25,4172940000,1.917932978,5.78,0.122188443,1.48E+13,3.109920825,3.839100297
2/1/2009,931.799988,4048270000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
5/1/2009,927.450012,5413910000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
6/1/2009,934.700012,5392620000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
7/1/2009,906.650024,4704940000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
8/1/2009,909.72998,4991550000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
9/1/2009,890.349976,4716500000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
12/1/2009,870.26001,4725050000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
13-01-2009,871.789978,5567460000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
14-01-2009,842.619995,5407880000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
15-01-2009,843.73999,7807350000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
16-01-2009,850.119995,6786040000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
20-01-2009,805.219971,6375230000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
21-01-2009,840.23999,6467830000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
22-01-2009,827.5,5843830000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
23-01-2009,831.950012,5832160000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
26-01-2009,836.570007,6039940000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
27-01-2009,845.710022,5353260000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
28-01-2009,874.090027,6199180000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
29-01-2009,845.140015,5067060000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
30-01-2009,825.880005,5350580000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
2/2/2009,825.440002,5673270000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
3/2/2009,838.51001,5886310000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
4/2/2009,832.22998,6420450000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
5/2/2009,845.849976,6624030000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
6/2/2009,868.599976,6484100000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
9/2/2009,869.890015,5574370000,0.640954733,9.25,-2.599888351,1.45E+13,2.592428971,-0.355546266
